"FITB.Open","FITB.High","FITB.Low","FITB.Close","FITB.Volume","FITB.Adjusted"
"2018-01-02",31.747,31.747,30.719,30.43,8378800,29.895926
"2018-01-03",30.943,31.187,30.831,30.52,5975900,29.984346
"2018-01-04",31.279,31.564,31.106,30.629999,7453300,30.092415
"2018-01-05",31.269,31.36,30.974,30.709999,6212800,30.171013
"2018-01-08",31.218,31.36,31.004,30.700001,5896100,30.16119
"2018-01-09",31.371,32.093,31.31,31.25,4364000,30.701534
"2018-01-10",31.88,32.5,31.839,31.58,3413500,31.025742
"2018-01-11",32.246,32.47,32.103,31.860001,4566200,31.300829
"2018-01-12",32.572,32.938,32.439,32.349998,4346400,31.782227
"2018-01-16",32.979,33.274,32.663,32.279999,6128900,31.713457
"2018-01-17",33.03,33.142,32.521,32.490002,4407200,31.919773
"2018-01-18",33.111,33.233,32.643,32.169998,4325300,31.605385
"2018-01-19",32.694,33.131,32.643,32.5,5417300,31.929594
"2018-01-22",33.081,33.467,32.908,32.77,7971200,32.194859
"2018-01-23",33.233,33.763,32.633,32.919998,7393600,32.342224
"2018-01-24",33.763,33.997,33.498,33.330002,5089700,32.745033
"2018-01-25",34.109,34.109,33.406,32.84,4496200,32.263626
"2018-01-26",33.528,33.997,33.427,33.349998,3574500,32.764679
"2018-01-29",33.905,34.19,33.712,33.169998,3012200,32.587837
"2018-01-30",33.559,33.976,33.467,33.02,4518300,32.440468
"2018-01-31",33.671,34.068,33.579,33.099998,4431400,32.519062
"2018-02-01",33.742,34.271,33.569,33.66,4325500,33.069237
"2018-02-02",34.098,34.516,33.579,33.130001,4954100,32.548538
"2018-02-05",33.264,33.895,32.083,31.700001,7591400,31.143639
"2018-02-06",31.33,32.714,31.075,32.02,8297600,31.458019
"2018-02-07",32.511,33.376,32.399,32.34,5545900,31.772402
"2018-02-08",32.877,32.928,31.656,31.1,7178200,30.554169
"2018-02-09",32.226,32.724,31.442,31.98,8425400,31.418724
"2018-02-12",32.755,33.254,32.46,32.25,5447300,31.683985
"2018-02-13",32.663,33.07,32.49,32.389999,3291900,31.821529
"2018-02-14",32.948,33.976,32.796,33.25,4636200,32.666435
"2018-02-15",34.048,34.129,33.691,33.200001,3709600,32.617313
"2018-02-16",33.701,34.027,33.518,33.130001,6874200,32.548538
"2018-02-20",33.62,34.037,33.62,33.209999,3852000,32.627132
"2018-02-21",33.925,34.536,33.752,33.439999,4510600,32.853096
"2018-02-22",34.139,34.312,33.335,32.869999,6022300,32.293102
"2018-02-23",33.569,34.068,33.569,33.450001,3004300,32.862926
"2018-02-26",34.312,34.373,33.905,33.759998,3586000,33.16748
"2018-02-27",34.343,34.699,33.844,33.259998,7025800,32.676254
"2018-02-28",34.017,34.353,33.63,33.049999,6726400,32.469944
"2018-03-01",33.61,33.976,33.182,32.790001,5035300,32.214508
"2018-03-02",33.111,33.6,32.684,32.91,4091300,32.332401
"2018-03-05",33.182,34.119,32.958,33.360001,5013100,32.774502
"2018-03-06",34.16,34.353,33.63,33.66,3123100,33.069237
"2018-03-07",33.773,34.383,33.773,33.68,3662000,33.088886
"2018-03-08",34.333,34.445,33.712,33.669998,3876600,33.07906
"2018-03-09",34.455,34.831,34.302,34.209999,3854100,33.609581
"2018-03-12",34.811,35.025,34.577,34.259998,4676000,33.658703
"2018-03-13",35.126,35.188,34.536,34.060001,5183900,33.462219
"2018-03-14",34.556,34.75,34.109,33.619999,4297200,33.029938
"2018-03-15",34.322,34.394,33.956,33.57,3431400,32.980816
"2018-03-16",34.322,34.668,34.19,33.720001,9072600,33.128185
"2018-03-19",34.312,34.414,33.895,33.619999,4021500,33.029938
"2018-03-20",34.414,34.516,34.078,33.529999,4694600,32.941521
"2018-03-21",34.088,34.587,33.875,33.619999,4187600,33.029938
"2018-03-22",33.803,33.925,32.846,32.299999,6879600,31.733105
"2018-03-23",33.02,33.04,31.554,31.030001,6910200,30.485395
"2018-03-26",32.154,32.765,31.818,32.119999,4924600,31.556263
"2018-03-27",32.908,33.009,31.625,31.34,4656000,30.789957
"2018-03-28",31.666,32.112,31.281,31.559999,6960600,31.165201
"2018-03-29",32.172,32.274,31.767,31.75,5226900,31.352827
"2018-04-02",32.071,32.152,30.836,30.950001,6416900,30.562834
"2018-04-03",31.474,32.091,31.393,31.559999,3833700,31.165201
"2018-04-04",31.403,32.78,31.302,32.279999,5066500,31.876192
"2018-04-05",32.891,33.033,32.578,32.330002,4303300,31.925573
"2018-04-06",32.385,32.486,31.17,31.24,5365100,30.849205
"2018-04-09",31.818,32.578,31.778,31.4,4276600,31.007202
"2018-04-10",32.253,32.365,31.929,31.780001,3888000,31.382452
"2018-04-11",31.929,32.142,31.747,31.469999,3420300,31.076328
"2018-04-12",32.122,32.871,32.051,32.259998,4139000,31.856443
"2018-04-13",32.912,32.952,31.697,31.41,4879800,31.017078
"2018-04-16",32.051,32.112,31.605,31.49,4422800,31.096079
"2018-04-17",32.102,32.102,31.079,30.940001,5807100,30.552959
"2018-04-18",31.393,31.686,31.119,30.780001,4550500,30.39496
"2018-04-19",31.15,31.818,31.15,31.360001,7234300,30.967705
"2018-04-20",31.828,32.122,31.636,31.42,4995800,31.026953
"2018-04-23",31.879,32.345,31.646,31.93,7073100,31.530573
"2018-04-24",33.418,34.319,33.114,33.25,11385300,32.834061
"2018-04-25",33.621,34.329,33.418,33.540001,8342700,33.120434
"2018-04-26",33.874,34.502,33.762,33.619999,5806000,33.199432
"2018-04-27",34.056,34.431,33.965,33.830002,6274000,33.406807
"2018-04-30",34.41,34.603,33.59,33.169998,5116000,32.755062
"2018-05-01",33.6,33.924,33.256,33.360001,5756100,32.942688
"2018-05-02",33.641,33.732,33.104,32.75,7599800,32.340317
"2018-05-03",33.074,33.094,32.203,32.279999,6024900,31.876192
"2018-05-04",32.527,33.124,32.274,32.630001,5375500,32.221817
"2018-05-07",33.114,33.438,32.79,32.82,4574700,32.409443
"2018-05-08",33.317,33.884,33.145,33.099998,4765000,32.685936
"2018-05-09",33.58,34.35,33.58,33.669998,3363800,33.248806
"2018-05-10",34.066,34.593,33.823,33.939999,3997100,33.51543
"2018-05-11",34.37,34.623,34.269,33.98,3717600,33.554932
"2018-05-14",34.471,34.633,34.38,34.029999,3755000,33.604301
"2018-05-15",34.431,35.109,34.329,34.310001,5855200,33.880802
"2018-05-16",34.593,34.907,34.542,34.349998,5271500,33.9203
"2018-05-17",34.795,34.967,34.441,34.310001,4980800,33.880802
"2018-05-18",34.684,34.704,33.975,33.560001,5765400,33.140186
"2018-05-21",31.94,32.041,31.14,30.9,26880800,30.513458
"2018-05-22",31.514,32.567,31.423,31.889999,16582800,31.491074
"2018-05-23",32.061,32.264,31.464,31.200001,12960600,30.809708
"2018-05-24",31.504,32.213,31.302,31.76,12733700,31.362701
"2018-05-25",32.031,32.132,31.697,31.360001,7708300,30.967705
"2018-05-29",31.403,31.595,30.512,30.290001,10410800,29.911089
"2018-05-30",30.998,31.129,30.38,30.6,11183500,30.217213
"2018-05-31",30.947,31.16,30.775,30.58,7743900,30.19746
"2018-06-01",31.281,31.545,31.079,30.76,5772100,30.37521
"2018-06-04",31.21,31.494,31.17,31,4469600,30.612207
"2018-06-05",31.241,31.413,31.15,30.969999,4419300,30.582582
"2018-06-06",31.534,32.152,31.423,31.65,6731100,31.254076
"2018-06-07",32.122,32.415,31.798,31.620001,6015700,31.224453
"2018-06-08",32.041,32.294,31.848,31.809999,5407900,31.412075
"2018-06-11",32.243,32.365,31.767,31.42,6088600,31.026953
"2018-06-12",31.909,32.091,31.484,31.280001,7592100,30.888706
"2018-06-13",31.747,32.051,31.393,31.15,5345000,30.76033
"2018-06-14",31.565,31.686,31.079,30.84,5950100,30.454208
"2018-06-15",31.17,31.17,30.664,30.67,10964500,30.286337
"2018-06-18",30.896,31.2,30.704,30.67,5124200,30.286337
"2018-06-19",30.724,31.059,30.633,30.57,5699400,30.187586
"2018-06-20",31.2,31.322,31.018,30.709999,6541600,30.325834
"2018-06-21",31.018,31.291,30.623,30.629999,5474000,30.246836
"2018-06-22",31.241,31.251,30.41,30.1,6830400,29.723467
"2018-06-25",30.451,30.552,29.914,30.059999,7224900,29.683966
"2018-06-26",30.451,30.532,29.752,29.6,6847200,29.229721
"2018-06-27",30.005,30.157,29.246,28.93,7450600,28.568104
"2018-06-28",29.024,29.255,28.732,28.74,7828700,28.558165
"2018-06-29",29.255,29.638,28.873,28.700001,8713600,28.518419
"2018-07-02",28.812,29.305,28.762,29.08,5633700,28.896013
"2018-07-03",29.376,29.426,29.034,28.91,3614700,28.727089
"2018-07-05",29.235,29.386,28.963,28.82,5621600,28.637657
"2018-07-06",28.983,29.396,28.742,29.139999,3902700,28.955633
"2018-07-09",29.487,30.221,29.436,29.959999,6437700,29.770445
"2018-07-10",30.211,30.382,29.688,29.700001,5475300,29.512091
"2018-07-11",29.748,30.161,29.688,29.57,5644900,29.382914
"2018-07-12",29.909,29.939,29.376,29.41,4794900,29.223925
"2018-07-13",29.376,29.587,29.074,29.09,5121700,28.905951
"2018-07-16",29.315,29.768,29.315,29.459999,3672000,29.273609
"2018-07-17",29.627,29.869,29.557,29.52,4684500,29.333229
"2018-07-18",30.342,30.473,29.658,30.24,10344600,30.048674
"2018-07-19",30.111,30.111,28.47,28.309999,13188800,28.130884
"2018-07-20",28.641,29.014,28.571,28.49,15014200,28.309746
"2018-07-23",28.732,29.537,28.732,29.190001,9208300,29.005318
"2018-07-24",29.487,29.829,29.326,29.33,6449500,29.144432
"2018-07-25",29.436,29.708,29.275,29.27,6868200,29.084812
"2018-07-26",29.406,30.06,29.326,29.549999,7941600,29.363039
"2018-07-27",29.869,30.181,29.648,29.51,8745600,29.323294
"2018-07-30",29.768,30.221,29.617,29.75,6140900,29.561775
"2018-07-31",29.939,30.171,29.658,29.59,6344900,29.402786
"2018-08-01",30,30.231,29.748,29.780001,6684200,29.591585
"2018-08-02",29.778,30.352,29.658,30.01,6414700,29.820129
"2018-08-03",30.131,30.282,29.799,29.709999,5858100,29.522026
"2018-08-06",29.879,29.929,29.547,29.559999,4030800,29.372976
"2018-08-07",29.839,30.1,29.788,29.639999,3977700,29.452469
"2018-08-08",30.09,30.121,29.708,29.85,2896300,29.661142
"2018-08-09",29.939,30.04,29.668,29.52,4031500,29.333229
"2018-08-10",29.336,29.607,29.245,29.34,4481200,29.154369
"2018-08-13",29.597,29.748,29.285,29.129999,3958600,28.945696
"2018-08-14",29.386,29.849,29.386,29.620001,3519500,29.432598
"2018-08-15",29.436,29.748,29.225,29.17,4651900,28.985443
"2018-08-16",29.638,30.231,29.557,29.84,3927600,29.651205
"2018-08-17",29.97,30.05,29.758,29.690001,4442600,29.502155
"2018-08-20",29.869,30.09,29.758,29.83,2699300,29.641268
"2018-08-21",30.02,30.503,29.899,30.07,3733600,29.879749
"2018-08-22",30.141,30.181,29.919,29.75,3589200,29.561775
"2018-08-23",29.96,29.98,29.627,29.48,3758700,29.293482
"2018-08-24",29.768,29.849,29.587,29.450001,2552000,29.263674
"2018-08-27",29.778,30.121,29.688,29.74,3842300,29.551838
"2018-08-28",30.01,30.131,29.839,29.709999,3381900,29.522026
"2018-08-29",29.839,29.949,29.326,29.52,6874400,29.333229
"2018-08-30",29.567,29.658,29.376,29.280001,7064300,29.094749
"2018-08-31",29.416,29.648,29.225,29.43,3879000,29.243799
"2018-09-04",29.919,30.04,29.668,29.74,4797200,29.551838
"2018-09-05",29.788,30.08,29.788,29.68,5054900,29.492218
"2018-09-06",29.879,30.03,29.678,29.5,4040000,29.313356
"2018-09-07",29.788,29.819,29.487,29.49,5257400,29.303419
"2018-09-10",29.819,29.829,29.416,29.42,3554000,29.233862
"2018-09-11",29.607,29.788,29.487,29.389999,3783300,29.204052
"2018-09-12",29.507,29.507,28.933,28.870001,4588100,28.687344
"2018-09-13",29.235,29.285,28.883,28.77,6152800,28.587975
"2018-09-14",29.557,29.557,29.014,29.02,4955500,28.836393
"2018-09-17",29.225,29.305,28.842,28.719999,4408100,28.53829
"2018-09-18",28.893,29.064,28.802,28.85,5021600,28.667469
"2018-09-19",29.034,29.849,28.993,29.52,5458800,29.333229
"2018-09-20",29.819,30.322,29.819,29.790001,5764800,29.601522
"2018-09-21",29.97,30.05,29.627,29.5,9683400,29.313356
"2018-09-24",29.648,29.929,29.034,29.01,4341900,28.826456
"2018-09-25",29.315,29.466,29.154,28.98,4307200,28.796646
"2018-09-26",29.356,29.376,28.591,28.450001,3855200,28.27
"2018-09-27",28.3,28.39,27.9,27.940001,3885300,27.940001
"2018-09-28",27.75,28.23,27.43,27.92,8712900,27.92
