ID,Record,RT,Time,Stimulate,Fatigue,Hunger,busyOrlight,illness,Sleep,Protocol,MEQ
1,1,0.437,10:14,0,4,4,1,0,6,1,0
1,2,0.366,15:49,1,3,4,1,0,6,0,0
1,3,0.345,21:31,0,5,4,1,0,6,1,0
1,4,0.415,23:31,0,6,3,1,0,6,1,0
1,5,0.366,11:46,0,2,4,0,0,10,1,0
1,6,0.31,16:15,1,3,4,0,0,10,1,0
1,7,0.396,21:17,0,3,5,0,0,10,1,0
1,8,0.316,23:23,0,5,3,0,0,10,1,0
2,1,0.433,10:25,0,4,3,0,0,8,1,0
2,2,0.385,14:29,0,6,5,0,0,8,1,0
2,3,0.402,19:10,0,3,8,0,0,8,1,0
2,4,0.386,23:26,0,6,4,0,0,8,1,0
2,5,0.376,10:51,0,2,3,1,0,10,1,0
2,6,0.348,15:31,0,6,4,1,0,10,1,0
2,7,0.359,19:48,0,5,9,1,0,10,1,0
2,8,0.379,22:10,0,6,3,1,0,10,1,0
3,1,0.376,8:40,0,2,4,0,0,7.5,1,0
3,2,0.378,12:53,0,3,7,0,0,7.5,1,0
3,3,0.357,17:48,0,4,5,0,0,9.5,1,0
3,4,0.355,23:03,0,6,4,0,0,9.5,1,0
3,5,0.384,9:31,0,3,4,1,0,8,1,0
3,6,0.363,13:21,0,2,6,1,0,10,1,0
3,7,0.365,18:35,0,3,8,1,0,10,1,0
3,8,0.343,23:09,0,4,5,1,0,10,1,0
4,1,0.373,8:53,0,3,3,0,0,7.5,1,0
4,2,0.357,13:27,0,2,4,0,0,7.5,1,0
4,3,0.47,18:43,0,4,5,0,0,7.5,1,0
4,4,,,,,,0,0,,,0
4,5,0.375,10:06,0,3,4,1,0,8,1,0
4,6,0.34,15:02,0,2,5,1,0,8,1,0
4,7,0.375,19:21,0,3,4,1,0,8,1,0
4,8,0.36,0:00,0,2,5,1,0,8,1,0
5,1,0.394,0:32,0,3,3,0,0,10,1,-1
5,2,0.358,17:15,0,2,4,0,0,10,1,-1
5,3,0.388,22:54,0,1,5,0,0,10,1,-1
5,4,0.47,1:30,0,6,7,0,0,10,1,-1
5,5,0.364,12:30,0,3,3,1,0,12,1,-1
5,6,0.344,16:50,1,4,2,1,0,12,1,-1
5,7,0.352,21:01,0,3,5,1,0,12,1,-1
5,8,0.374,0:46,0,5,7,1,0,12,1,-1
6,1,0.41,10:43,0,3,5,0,0,7,1,-1
6,2,0.416,15:35,0,3,6,0,0,7,1,-1
6,3,0.403,21:37,0,2,6,0,0,7,1,-1
6,4,0.384,2:14,0,5,5,0,0,7,1,-1
6,5,0.419,8:17,0,5,5,1,0,4.6,1,-1
6,6,0.385,13:08,0,2,6,1,0,6,1,-1
6,7,0.376,17:52,1,3,7,1,0,6,1,-1
6,8,0.397,0:35,0,5,5,1,0,6,1,-1
7,1,0.433,11:40,0,3,5,0,,9,1,0
7,2,0.375,15:19,1,2,4,0,,9,1,0
7,3,0.38,19:10,0,1,3,0,,9,1,0
7,4,0.411,1:27,0,4,6,0,,9,1,0
7,5,0.455,9:55,0,3,4,1,,7,1,0
7,6,0.464,14:07,0,1,7,1,,7,1,0
7,7,0.386,18:51,1,2,6,1,,7,1,0
7,8,0.403,22:58,1,5,4,1,,7,1,0
8,1,0.707,12:21,0,3,4,0,0,8,1,-1
8,2,0.736,17:32,0,1,4,0,0,8,1,-1
8,3,0.701,23:07,0,1,4,0,0,8,1,-1
8,4,0.702,2:18,0,4,5,0,0,8,1,-1
8,5,0.699,12:40,0,4,5,1,0,8,1,-1
8,6,0.68,17:06,0,2,4,1,0,8,1,-1
8,7,0.719,22:39,0,1,3,1,0,8,1,-1
8,8,0.849,3:34,0,5,4,1,0,8,1,-1
9,1,0.291,9:54,1,3,5,0,1,8,1,0
9,2,0.237,14:02,0,3,6,0,1,8,1,0
9,3,0.193,20:03,0,4,7,0,1,8,1,0
9,4,0.289,22:21,0,5,5,0,1,8,1,0
9,5,0.335,9:10,0,3,4,1,0,8,1,0
9,6,0.311,13:52,1,4,6,1,0,8,1,0
9,7,0.274,19:58,1,5,5,1,0,8,1,0
9,8,0.314,23:04,0,5,6,1,0,8,1,0
10,1,0.406,10:45,0,2,3,0,0,7.5,1,0
10,2,0.418,15:25,0,4,6,0,0,7.5,1,0
10,3,0.364,21:18,0,3,5,0,0,7.5,1,0
10,4,0.402,23:26,0,5,5,0,0,7.5,1,0
10,5,0.397,10:08,0,2,4,1,0,8,1,0
10,6,0.417,15:56,0,4,4,1,0,8,1,0
10,7,0.329,20:47,0,2,5,1,0,8,1,0
10,8,0.353,23:04,0,3,5,1,0,8,1,0
11,1,0.451,12:00,0,5,4,0,0,9,1,-1
11,2,0.218,17:30,0,3,3,0,0,9,1,-1
11,3,0.41,21:30,0,4,5,0,0,9,1,-1
11,4,0.422,23:30,0,3,5,0,0,9,1,-1
11,5,0.529,11:30,0,5,5,1,0,8.5,1,-1
11,6,0.454,15:30,0,4,5,1,0,8.5,1,-1
11,7,0.409,19:30,0,6,6,1,0,8.5,1,-1
11,8,0.467,23:30,0,6,6,1,0,8.5,1,-1
12,1,0.305,9:30,0,3,6,0,1,8.5,1,-1
12,2,0.334,14:24,0,3,6,0,1,8.5,1,-1
12,3,0.302,19:24,0,1,4,0,1,8.5,1,-1
12,4,0.214,0:33,0,2,5,0,1,8.5,1,-1
12,5,0.312,10:00,0,3,6,1,1,9,1,-1
12,6,0.343,15:42,0,4,6,1,1,9,1,-1
12,7,0.367,20:02,0,3,7,1,1,9,1,-1
12,8,0.278,1:00,0,2,5,1,1,9,1,-1
13,1,0.359,9:34,0,2,4,0,0,7,1,0
13,2,0.38,13:42,0,3,5,0,0,7,1,0
13,3,0.351,18:23,0,3,3,0,0,7,1,0
13,4,0.417,4:13,0,5,4,0,0,7,1,0
13,5,0.371,10:16,1,6,3,1,0,6,1,0
13,6,0.407,16:33,1,3,4,1,0,6,1,0
13,7,0.401,20:54,0,4,7,1,0,6,1,0
13,8,0.347,3:12,0,3,4,1,0,6,1,0
14,1,0.538,10:08,0,3,4,1,1,6,1,-1
14,2,0.419,14:13,0,4,5,1,1,6,1,-1
14,3,0.454,18:49,0,4,4,1,1,6,1,-1
14,4,0.483,23:12,0,5,7,1,1,6,1,-1
14,5,0.401,9:52,0,2,4,0,1,9,1,-1
14,6,0.387,15:30,0,3,3,0,1,9,1,-1
14,7,0.404,20:02,0,2,5,0,1,9,1,-1
14,8,0.406,23:04,0,4,7,0,1,9,1,-1
15,1,0.568,11:00,0,5,3,1,0,8,1,-1
15,2,0.396,15:00,1,4,5,1,0,8,1,-1
15,3,0.448,19:28,0,4,4,1,0,8,1,-1
15,4,0.355,0:21,1,3,5,1,0,8,1,-1
15,5,0.372,11:30,0,3,4,0,0,10,1,-1
15,6,0.677,16:37,0,4,7,0,0,10,1,-1
15,7,0.352,20:39,0,4,4,0,0,10,1,-1
15,8,0.33,23:30,0,4,5,0,0,10,1,-1
16,1,0.342,14:02,0,3,4,0,0,10,1,-1
16,2,0.295,19:07,0,1,6,0,0,10,1,-1
16,3,0.338,1:18,0,5,7,0,0,10,1,-1
16,4,0.395,3:16,0,5,6,0,0,10,1,-1
16,5,0.453,8:01,0,5,3,1,0,4,1,-1
16,6,0.311,13:15,0,4,4,1,0,4,1,-1
16,7,0.334,17:47,0,5,6,1,0,4,1,-1
16,8,0.281,0:22,0,4,6,1,0,4,1,-1
17,1,0.335,8:21,0,3,3,1,0,9,1,-1
17,2,0.396,12:45,0,5,4,1,0,9,1,-1
17,3,0.348,18:30,0,4,6,1,0,9,1,-1
17,4,0.368,21:57,0,6,5,1,0,9,1,-1
17,5,0.375,7:41,0,2,4,0,0,8,1,-1
17,6,0.097,13:52,0,1,6,0,0,8,1,-1
17,7,0.385,18:02,0,5,3,0,0,8,1,-1
17,8,0.394,21:59,0,6,5,0,0,8,1,-1
18,1,0.528,8:37,0,4,5,1,0,7.3,1,0
18,2,0.477,14:23,1,3,6,1,0,7.3,1,0
18,3,0.584,20:21,0,5,7,1,0,7.3,1,0
18,4,0.571,0:01,1,6,7,1,0,7.3,1,0
18,5,0.402,10:01,1,3,6,0,0,7.1,1,0
18,6,0.474,15:00,1,3,4,0,0,7.1,1,0
18,7,0.462,20:00,1,3,4,0,0,7.1,1,0
18,8,0.463,23:01,0,3,4,0,0,7.1,1,0
19,1,0.376,9:00,0,3,4,0,0,7.5,1,0
19,2,0.407,14:15,0,2,5,0,0,7.5,1,0
19,3,0.373,19:30,0,4,6,0,0,7.5,1,0
19,4,0.431,0:30,0,5,5,0,0,7.5,1,0
19,5,0.402,8:45,0,5,4,1,0,7,1,0
19,6,0.382,14:30,1,1,5,1,0,7,1,0
19,7,0.391,19:45,0,4,4,1,0,7,1,0
19,8,0.394,0:30,0,6,6,1,0,7,1,0
20,1,0.282,10:00,0,3,4,1,0,8,1,0
20,2,0.312,16:10,0,3,4,1,0,8,1,0
20,3,0.292,20:04,0,4,7,1,0,8,1,0
20,4,0.305,0:31,0,5,5,1,0,8,1,0
20,5,0.306,9:30,0,3,4,0,0,8,1,0
20,6,0.312,13:00,0,3,4,0,0,8,1,0
20,7,0.403,19:06,0,3,4,0,0,8,1,0
20,8,0.317,23:55,0,4,5,0,0,8,1,0
21,1,0.426,7:48,0,3,3,1,0,7,1,0
21,2,0.396,11:57,1,1,6,1,0,7,1,0
21,3,0.387,17:39,0,2,6,1,0,7,1,0
21,4,,22:05,0,,,1,0,7,1,0
21,5,,,,,,,,,,
21,6,,,,,,,,,,
21,7,,,,,,,,,,
21,8,,,,,,,,,,
22,1,0.295,9:30,0,3,4,0,0,6.5,1,-1
22,2,0.323,14:00,0,2,6,0,0,6.5,1,-1
22,3,0.304,20:09,0,3,6,0,0,6.5,1,-1
22,4,0.318,0:30,0,4,6,0,0,6.5,1,-1
22,5,0.298,9:00,0,3,4,1,0,7.5,1,-1
22,6,0.314,14:30,0,2,6,1,0,7.5,1,-1
22,7,0.297,19:00,0,2,3,1,0,7.5,1,-1
22,8,0.299,1:14,0,4,7,1,0,7.5,1,-1
23,1,0.429,8:03,0,4,3,1,0,5,1,0
23,2,0.353,12:25,0,3,5,1,0,5,1,0
23,3,0.391,18:30,1,2,6,1,0,5,1,0
23,4,0.354,23:27,0,6,7,1,0,5,1,0
23,5,0.481,9:03,0,5,3,0,0,7,1,0
23,6,0.366,13:32,1,3,3,0,0,7,1,0
23,7,0.368,18:45,0,3,5,0,0,7,1,0
23,8,0.356,23:30,0,2,4,0,0,7,1,0
24,1,0.437,11:00,0,1,1,1,0,8,1,0
24,2,0.388,14:00,0,1,1,1,0,8,1,0
24,3,0.405,17:00,0,4,5,1,0,8,1,0
24,4,0.444,1:07,0,6,1,1,0,8,1,0
24,5,0.432,10:32,0,3,1,0,0,8,1,0
24,6,0.471,14:03,0,2,9,0,0,8,1,0
24,7,0.513,17:33,0,7,1,0,0,8,1,0
24,8,0.444,1:03,0,3,1,0,0,8,1,0
25,1,0.441,9:32,0,2,4,1,0,8.5,1,0
25,2,0.457,14:49,0,3,4,1,0,8.5,1,0
25,3,0.511,20:13,0,5,5,1,0,8.5,1,0
25,4,0.591,0:59,0,6,6,1,0,8.5,1,0
25,5,0.475,8:12,0,4,5,0,0,6,1,0
25,6,0.432,13:10,1,2,6,0,0,6,1,0
25,7,0.712,21:34,0,7,3,0,0,6,?0,0
25,8,0.501,22:40,0,7,6,0,0,6,?1,0
26,1,0.286,9:52,0,2,6,1,0,7.5,1,1
26,2,0.501,14:33,0,4,5,1,0,7.5,1,1
26,3,0.339,19:19,0,5,6,1,0,7.5,1,1
26,4,0.541,23:11,0,5,4,1,0,7.5,1,1
26,5,0.553,7:49,0,3,5,0,0,8.17,1,1
26,6,0.34,14:04,0,5,6,0,1,8.17,1,1
26,7,0.325,18:15,0,4,7,0,1,8.17,1,1
26,8,0.418,23:30,0,6,6,0,1,8.17,1,1
27,1,0.562,10:10,0,3,3,0,0,10,1,-1
27,2,0.374,14:10,0,2,7,0,0,10,1,-1
27,3,0.219,18:10,0,1,3,0,0,10,1,-1
27,4,0.416,23:30,0,5,5,0,0,10,1,-1
27,5,0.464,8:15,0,4,4,1,0,8,1,-1
27,6,0.372,12:15,0,3,3,1,0,8,1,-1
27,7,0.319,16:15,0,1,5,1,0,8,1,-1
27,8,0.458,23:55,0,6,4,1,0,8,1,-1
28,1,0.363,10:15,0,4,4,0,0,,1,0
28,2,0.325,12:37,1,3,3,0,0,,1,0
28,3,0.316,17:44,0,2,4,0,0,,1,0
28,4,0.329,23:08,0,4,5,0,0,,1,0
28,5,0.361,9:26,0,4,5,1,0,,1,0
28,6,0.406,14:52,0,5,6,1,0,,1,0
28,7,0.332,21:52,1,4,6,1,0,,1,0
28,8,0.352,22:11,0,5,5,1,0,,1,0
29,1,0.432,,0,7,6,0,0,,1,-1
29,2,0.502,,0,3,3,0,0,,1,-1
29,3,0.388,,0,6,9,0,0,,1,-1
29,4,0.379,,0,4,1,0,0,,1,-1
29,5,0.356,,0,7,6,1,0,,1,-1
29,6,0.387,,0,4,3,1,0,,1,-1
29,7,0.367,,0,7,8,1,0,,1,-1
29,8,0.351,,0,5,2,1,0,,1,-1
30,1,0.422,10:20,0,5,5,0,0,9.5,1,0
30,2,0.309,15:05,0,1,6,0,0,9.5,1,0
30,3,0.431,19:45,0,1,5,0,0,9.5,1,0
30,4,0.408,0:30,0,4,4,0,0,9.5,1,0
30,5,0.513,8:00,0,6,4,1,0,7,1,0
30,6,0.354,13:30,0,1,6,1,0,7,1,0
30,7,0.411,17:25,0,2,5,1,0,7,1,0
30,8,0.655,23:15,0,5,4,1,0,7,1,0
31,1,0.518,,,,,1,,,,
31,2,0.462,,,,,1,,,,
31,3,0.481,,,,,1,,,,
31,4,0.605,,,,,1,,,,
31,5,0.529,,,,,0,,,,
31,6,0.481,,,,,0,,,,
31,7,0.552,,,,,0,,,,
31,8,0.645,,,,,0,,,,
32,1,0.4,13:30,0,4,3,0,0,12,1,-1
32,2,0.333,17:43,0,3,6,0,0,12,1,-1
32,3,0.431,21:48,1,3,5,0,0,12,1,-1
32,4,,,,,,0,0,12,1,-1
32,5,0.42,11:15,0,4,3,1,0,8,1,-1
32,6,0.367,15:31,0,3,6,1,0,8,1,-1
32,7,0.391,19:40,0,3,4,1,0,8,1,-1
32,8,0.434,1:31,0,5,5,1,0,8,1,-1
33,1,0.377,9:59,0,3,5,0,0,6.75,0,0
33,2,0.385,14:21,1,3,4,0,0,6.75,1,0
33,3,0.361,20:35,1,3,9,0,0,6.75,1,0
33,4,0.344,2:25,1,5,5,0,0,6.75,1,0
33,5,0.444,8:43,0,5,4,1,0,6,1,0
33,6,0.356,14:00,1,3,4,1,0,6,1,0
33,7,,,,,,1,0,6,,0
33,8,0.419,12:46,1,5,4,1,0,6,1,0
34,1,0.48,8:34,0,5,5,1,1,,1,0
34,2,0.318,14:12,1,4,4,1,1,,1,0
34,3,,,,,,1,1,,0,0
34,4,0.292,23:56,0,6,5,1,1,,1,0
34,5,0.526,8:02,1,3,3,0,0,,1,0
34,6,0.369,13:23,0,1,3,0,0,,1,0
34,7,0.12,19:32,0,2,4,0,0,,1,0
34,8,,,,,,0,0,,0,0
35,1,0.452,8:45,0,4,4,1,0,7.7,1,0
35,2,0.388,13:00,0,3,7,1,0,7.7,1,0
35,3,0.385,16:00,0,3,5,1,0,7.7,1,0
35,4,0.459,0:35,0,5,5,1,0,7.7,1,0
35,5,0.432,8:27,0,5,4,0,0,7.2,1,0
35,6,0.374,13:00,0,2,7,0,0,7.2,1,0
35,7,0.386,16:00,0,3,5,0,0,7.2,1,0
35,8,0.488,1:00,0,6,4,0,0,7.2,1,0
36,1,0.362,9:30,0,5,3,0,0,5,1,0
36,2,0.347,13:30,0,5,5,0,0,5,1,0
36,3,0.362,19:30,1,5,6,0,0,5,1,0
36,4,0.364,23:30,0,4,5,0,0,5,1,0
36,5,0.326,7:30,0,2,4,1,0,9,1,0
36,6,0.313,11:30,1,2,4,1,0,9,1,0
36,7,0.313,17:30,0,4,5,1,0,9,1,0
36,8,0.324,21:30,0,5,4,1,0,9,1,0
37,1,0.365,10:23,0,3,6,1,0,7.5,1,-1
37,2,0.364,15:15,0,2,4,1,0,7.5,1,-1
37,3,0.411,20:30,0,4,7,1,0,7.5,1,-1
37,4,0.363,0:45,0,4,4,1,0,7.5,1,-1
37,5,0.413,11:00,0,4,3,0,0,8,1,-1
37,6,0.328,15:42,0,2,4,0,0,8,1,-1
37,7,0.354,20:59,0,3,6,0,0,8,1,-1
37,8,0.421,1:15,0,5,3,0,0,8,1,-1
38,1,0.355,11:45,0,3,5,0,0,8,,0
38,2,0.397,16:33,0,4,5,0,0,8,,0
38,3,0.416,21:29,0,5,4,0,0,8,,0
38,4,0.405,22:45,0,5,3,0,0,8,,0
38,5,0.46,0:00,0,5,4,1,0,8,,0
38,6,0.357,16:30,0,3,3,1,0,8,,0
38,7,0.49,12:00,0,4,8,1,0,8,,0
38,8,0.452,6:30,0,5,5,1,0,8,,0
39,1,0.303,11:02,0,5,3,0,0,8,,-1
39,2,0.249,15:08,0,4,5,0,0,8,,-1
39,3,0.23,20:21,0,1,5,0,0,8,,-1
39,4,0.299,1:49,0,5,6,0,0,8,,-1
39,5,0.269,10:50,0,4,3,1,0,7.5,,-1
39,6,0.304,14:28,0,3,6,1,0,7.5,,-1
39,7,0.255,19:43,0,2,6,1,0,7.5,,-1
39,8,0.367,23:29,0,3,5,1,0,7.5,,-1
