age,education,contact,month,campaign,poutcome,y
80,primary,cellular,feb,1,failure,1
77,tertiary,cellular,oct,1,success,1
77,tertiary,telephone,may,1,success,1
75,tertiary,cellular,0v,1,failure,1
75,secondary,cellular,feb,2,failure,0
73,primary,cellular,oct,1,failure,1
73,primary,cellular,jul,3,success,0
71,tertiary,cellular,oct,2,success,0
71,tertiary,cellular,jan,1,failure,0
70,secondary,cellular,apr,2,failure,0
70,secondary,cellular,apr,2,failure,0
70,tertiary,cellular,apr,3,failure,0
69,tertiary,cellular,jul,1,failure,0
69,tertiary,cellular,jul,1,success,1
66,tertiary,cellular,jan,1,success,1
65,primary,cellular,oct,1,failure,0
65,primary,cellular,jun,2,failure,0
64,primary,cellular,mar,1,success,0
64,primary,cellular,jul,2,success,0
64,tertiary,cellular,feb,1,failure,1
63,secondary,cellular,sep,1,failure,0
63,primary,cellular,oct,1,success,0
62,tertiary,cellular,oct,1,success,1
60,secondary,cellular,may,1,failure,0
60,secondary,cellular,may,1,failure,0
60,secondary,cellular,dec,1,success,1
60,primary,cellular,apr,2,failure,0
59,secondary,cellular,may,2,failure,0
59,tertiary,cellular,jun,5,failure,0
59,secondary,cellular,jun,1,success,1
59,primary,cellular,jan,1,failure,0
59,secondary,cellular,jan,2,failure,0
59,primary,cellular,jan,1,success,1
59,tertiary,cellular,feb,1,failure,0
59,tertiary,cellular,feb,4,success,1
59,tertiary,cellular,dec,1,failure,0
59,secondary,cellular,apr,2,failure,1
58,secondary,cellular,0v,1,success,1
58,secondary,cellular,may,2,failure,0
58,secondary,cellular,may,2,failure,0
58,primary,cellular,feb,3,failure,0
58,secondary,cellular,feb,6,failure,0
58,secondary,cellular,dec,2,success,0
58,primary,cellular,aug,1,failure,1
58,tertiary,cellular,aug,1,failure,0
57,secondary,cellular,0v,4,failure,0
57,primary,cellular,may,1,failure,0
57,primary,cellular,may,2,failure,0
57,secondary,cellular,may,2,failure,0
57,secondary,telephone,jan,1,success,1
57,secondary,cellular,feb,1,failure,0
57,primary,cellular,feb,1,failure,0
57,secondary,cellular,aug,1,failure,0
56,primary,cellular,may,1,failure,0
56,secondary,cellular,may,6,failure,0
56,primary,cellular,jan,2,failure,0
56,secondary,cellular,jan,2,failure,0
56,secondary,cellular,apr,1,failure,0
55,primary,cellular,sep,2,success,1
55,secondary,cellular,sep,2,success,0
55,secondary,cellular,oct,1,failure,0
55,primary,cellular,may,1,failure,0
55,tertiary,telephone,may,2,failure,0
55,secondary,cellular,jun,3,success,1
55,secondary,cellular,jan,3,failure,0
55,primary,cellular,feb,1,failure,0
55,secondary,cellular,feb,1,failure,1
55,secondary,cellular,apr,1,failure,1
55,secondary,cellular,apr,1,failure,0
54,tertiary,cellular,oct,3,success,1
54,secondary,telephone,0v,1,failure,0
54,secondary,cellular,may,1,failure,0
54,secondary,cellular,jan,1,failure,1
54,tertiary,cellular,feb,1,failure,0
54,tertiary,cellular,feb,7,failure,0
54,secondary,telephone,aug,2,success,0
54,secondary,telephone,apr,1,failure,0
54,secondary,cellular,apr,1,failure,0
53,secondary,cellular,oct,6,success,0
53,secondary,cellular,may,1,failure,0
53,secondary,cellular,may,1,failure,0
53,primary,cellular,may,2,failure,0
53,secondary,telephone,mar,1,success,1
53,primary,cellular,jul,3,success,1
53,tertiary,cellular,feb,1,failure,0
53,secondary,cellular,aug,1,failure,1
53,secondary,cellular,aug,1,success,1
53,primary,cellular,apr,1,failure,0
53,tertiary,cellular,apr,1,failure,0
53,secondary,cellular,apr,1,failure,0
52,secondary,cellular,oct,1,failure,1
52,secondary,cellular,0v,1,failure,0
52,secondary,cellular,0v,2,failure,0
52,primary,cellular,may,2,failure,0
52,secondary,telephone,jul,2,failure,1
52,tertiary,cellular,jan,5,success,1
52,secondary,cellular,feb,1,failure,1
52,secondary,cellular,feb,1,failure,0
52,secondary,cellular,aug,1,failure,1
52,tertiary,cellular,aug,3,success,0
52,secondary,cellular,apr,2,failure,0
52,tertiary,cellular,apr,3,failure,0
51,secondary,cellular,may,1,failure,0
51,secondary,cellular,may,1,failure,0
51,primary,cellular,may,1,failure,0
51,primary,cellular,may,1,failure,0
51,secondary,cellular,may,1,failure,0
51,tertiary,cellular,may,2,failure,0
51,primary,cellular,may,2,failure,0
51,tertiary,cellular,may,4,failure,1
51,tertiary,cellular,mar,1,failure,0
51,secondary,cellular,feb,2,failure,0
50,secondary,cellular,0v,1,failure,0
50,tertiary,cellular,0v,1,failure,0
50,secondary,cellular,0v,1,failure,0
50,tertiary,cellular,0v,2,failure,0
50,tertiary,cellular,0v,2,failure,0
50,secondary,cellular,may,1,failure,0
50,tertiary,cellular,may,1,failure,0
50,tertiary,cellular,may,2,failure,0
50,secondary,cellular,may,2,failure,1
50,secondary,cellular,jul,2,failure,0
50,secondary,cellular,jan,2,failure,0
50,tertiary,cellular,feb,2,failure,0
50,tertiary,cellular,apr,1,failure,0
50,secondary,cellular,apr,2,failure,0
50,primary,cellular,apr,2,success,0
50,primary,cellular,apr,4,success,1
49,tertiary,cellular,0v,1,failure,0
49,tertiary,cellular,0v,3,failure,0
49,secondary,cellular,may,1,failure,1
49,tertiary,cellular,may,1,failure,0
49,secondary,cellular,may,7,failure,0
49,secondary,cellular,jan,2,failure,0
49,secondary,cellular,apr,1,failure,1
48,secondary,cellular,sep,2,success,1
48,primary,cellular,0v,1,failure,0
48,secondary,cellular,may,1,failure,1
48,tertiary,telephone,may,2,failure,0
48,secondary,cellular,jan,1,success,1
48,tertiary,cellular,aug,1,success,1
48,secondary,cellular,apr,1,failure,0
48,secondary,cellular,apr,3,failure,1
47,tertiary,telephone,oct,1,failure,0
47,secondary,cellular,oct,1,success,1
47,secondary,cellular,0v,2,success,0
47,tertiary,telephone,may,1,failure,0
47,primary,cellular,may,1,failure,0
47,secondary,cellular,may,1,failure,0
47,tertiary,cellular,may,2,failure,0
47,secondary,cellular,may,1,success,0
47,secondary,cellular,jul,2,success,1
47,primary,cellular,aug,2,failure,0
47,tertiary,cellular,aug,1,success,0
47,secondary,cellular,apr,1,failure,0
47,secondary,cellular,apr,1,failure,1
47,secondary,cellular,apr,1,success,1
46,tertiary,cellular,sep,2,success,1
46,tertiary,cellular,0v,1,failure,0
46,tertiary,cellular,0v,1,failure,0
46,tertiary,telephone,0v,3,failure,0
46,primary,cellular,may,1,failure,0
46,primary,cellular,may,2,failure,0
46,secondary,telephone,may,3,failure,0
46,primary,cellular,may,3,failure,0
46,tertiary,cellular,may,4,failure,0
46,tertiary,cellular,mar,2,success,1
46,primary,cellular,jan,4,failure,0
46,secondary,cellular,jan,1,success,0
46,secondary,cellular,aug,1,failure,0
46,secondary,cellular,apr,2,failure,0
46,secondary,cellular,apr,2,failure,0
45,tertiary,cellular,oct,1,failure,1
45,secondary,cellular,0v,1,failure,0
45,tertiary,cellular,0v,1,failure,0
45,secondary,cellular,0v,3,failure,0
45,secondary,cellular,0v,6,failure,0
45,secondary,cellular,may,2,failure,0
45,secondary,cellular,may,2,failure,0
45,secondary,cellular,jul,2,success,0
45,secondary,cellular,feb,4,failure,0
45,tertiary,cellular,aug,5,failure,0
45,secondary,cellular,apr,1,failure,0
45,primary,cellular,apr,1,failure,0
45,secondary,cellular,apr,1,failure,1
45,secondary,cellular,apr,2,success,0
44,tertiary,cellular,0v,2,failure,0
44,secondary,cellular,0v,1,success,1
44,primary,cellular,may,2,failure,0
44,secondary,telephone,may,3,failure,0
44,secondary,cellular,may,3,failure,0
44,secondary,cellular,may,3,failure,0
44,secondary,cellular,feb,1,failure,0
44,secondary,cellular,apr,1,failure,0
43,secondary,cellular,sep,1,success,1
43,secondary,cellular,0v,1,failure,0
43,secondary,cellular,0v,4,failure,0
43,secondary,cellular,0v,2,success,1
43,secondary,cellular,may,1,failure,0
43,secondary,cellular,may,1,failure,0
43,tertiary,cellular,may,1,failure,0
43,primary,cellular,may,1,failure,0
43,tertiary,cellular,may,1,failure,0
43,secondary,cellular,may,2,failure,0
43,primary,cellular,may,3,failure,0
43,secondary,cellular,feb,8,failure,0
43,tertiary,cellular,aug,1,failure,1
43,secondary,cellular,aug,1,success,1
43,primary,cellular,apr,1,failure,0
42,primary,cellular,may,1,failure,0
42,secondary,cellular,may,1,failure,0
42,secondary,cellular,may,1,failure,0
42,secondary,cellular,may,2,failure,0
42,secondary,cellular,may,3,failure,0
42,secondary,cellular,may,3,failure,1
42,tertiary,cellular,may,5,failure,0
42,secondary,cellular,jul,4,failure,1
42,secondary,cellular,jan,1,failure,0
42,secondary,cellular,feb,1,failure,0
42,primary,cellular,feb,4,failure,0
42,primary,cellular,feb,1,success,0
42,secondary,cellular,aug,1,failure,1
41,tertiary,cellular,oct,2,failure,0
41,tertiary,cellular,0v,1,failure,0
41,primary,cellular,0v,1,failure,0
41,tertiary,cellular,0v,1,failure,0
41,secondary,cellular,0v,3,failure,0
41,primary,cellular,may,1,failure,0
41,secondary,cellular,may,2,failure,0
41,secondary,telephone,mar,6,success,1
41,tertiary,cellular,jan,2,failure,0
41,tertiary,cellular,feb,1,success,1
40,secondary,cellular,0v,1,failure,0
40,secondary,cellular,0v,1,failure,0
40,secondary,cellular,0v,2,failure,0
40,secondary,cellular,0v,2,failure,0
40,secondary,cellular,0v,8,failure,0
40,tertiary,cellular,0v,1,success,1
40,secondary,cellular,may,1,failure,0
40,tertiary,cellular,may,1,failure,0
40,secondary,cellular,may,1,failure,0
40,tertiary,cellular,may,2,failure,0
40,secondary,cellular,may,2,failure,0
40,secondary,cellular,may,2,failure,0
40,tertiary,cellular,may,2,failure,0
40,secondary,cellular,may,4,failure,0
40,primary,cellular,may,6,failure,0
40,tertiary,cellular,may,1,success,1
40,secondary,cellular,may,2,success,0
40,tertiary,cellular,mar,2,failure,0
40,secondary,cellular,jun,1,failure,0
40,secondary,cellular,jul,2,failure,0
40,tertiary,cellular,jul,4,failure,0
40,secondary,cellular,jan,1,failure,0
40,secondary,cellular,feb,1,failure,0
40,tertiary,cellular,feb,2,failure,1
40,secondary,cellular,feb,4,failure,0
40,secondary,cellular,aug,1,success,1
40,secondary,cellular,apr,2,failure,0
39,tertiary,cellular,0v,1,failure,0
39,secondary,cellular,0v,2,failure,0
39,tertiary,cellular,0v,4,failure,0
39,secondary,cellular,may,1,failure,0
39,secondary,cellular,may,2,failure,1
39,secondary,cellular,may,2,failure,0
39,secondary,cellular,may,3,failure,0
39,tertiary,cellular,may,4,failure,0
39,secondary,cellular,jan,5,failure,0
39,secondary,cellular,feb,1,failure,0
39,secondary,cellular,feb,2,failure,1
39,secondary,cellular,aug,2,success,0
39,tertiary,cellular,apr,1,failure,0
39,tertiary,cellular,apr,1,failure,0
39,secondary,cellular,apr,1,failure,0
39,secondary,cellular,apr,1,failure,0
38,tertiary,cellular,sep,3,success,1
38,secondary,cellular,oct,3,success,1
38,primary,cellular,0v,1,failure,0
38,secondary,cellular,0v,2,failure,0
38,secondary,cellular,0v,2,failure,0
38,tertiary,cellular,0v,3,failure,0
38,secondary,cellular,0v,1,success,1
38,tertiary,cellular,may,1,failure,0
38,secondary,cellular,may,1,failure,0
38,tertiary,cellular,may,1,failure,0
38,tertiary,cellular,may,3,failure,0
38,tertiary,cellular,may,5,failure,0
38,secondary,cellular,may,3,success,1
38,tertiary,cellular,mar,2,failure,1
38,tertiary,telephone,jan,1,failure,0
38,secondary,cellular,feb,1,failure,0
38,secondary,cellular,feb,1,failure,0
38,secondary,cellular,feb,1,failure,0
38,secondary,cellular,aug,1,failure,1
38,tertiary,cellular,aug,1,success,1
38,tertiary,cellular,apr,1,failure,0
38,primary,cellular,apr,2,failure,0
38,secondary,cellular,apr,3,failure,0
38,tertiary,telephone,apr,3,failure,0
38,secondary,cellular,apr,4,failure,0
38,secondary,cellular,apr,4,failure,0
37,secondary,cellular,sep,1,success,1
37,tertiary,cellular,0v,2,failure,0
37,secondary,cellular,0v,2,failure,0
37,tertiary,cellular,may,1,failure,0
37,secondary,cellular,may,1,failure,0
37,primary,cellular,may,1,failure,0
37,secondary,cellular,may,1,failure,0
37,secondary,cellular,may,2,failure,0
37,secondary,cellular,may,2,failure,0
37,secondary,cellular,may,2,failure,0
37,secondary,telephone,may,2,failure,0
37,tertiary,cellular,may,3,failure,1
37,secondary,cellular,may,11,failure,0
37,primary,cellular,may,2,success,0
37,secondary,cellular,may,2,success,0
37,tertiary,cellular,may,5,success,0
37,tertiary,cellular,mar,4,failure,0
37,primary,cellular,jul,1,failure,0
37,tertiary,cellular,jul,2,success,1
37,tertiary,cellular,jan,2,failure,0
37,secondary,cellular,jan,2,failure,0
37,primary,cellular,feb,2,failure,0
37,tertiary,cellular,feb,1,success,1
37,secondary,cellular,apr,1,failure,0
37,tertiary,cellular,apr,1,failure,0
37,primary,cellular,apr,2,failure,0
37,tertiary,cellular,apr,4,failure,0
36,tertiary,cellular,oct,1,failure,0
36,secondary,cellular,0v,1,failure,0
36,secondary,cellular,0v,1,failure,0
36,tertiary,cellular,0v,4,failure,0
36,tertiary,cellular,may,1,failure,0
36,tertiary,cellular,may,1,failure,0
36,secondary,cellular,may,1,failure,0
36,tertiary,cellular,may,2,failure,0
36,secondary,cellular,may,2,failure,0
36,secondary,cellular,may,2,failure,0
36,secondary,cellular,may,2,failure,0
36,secondary,cellular,may,2,failure,0
36,tertiary,cellular,may,3,failure,0
36,tertiary,cellular,mar,3,success,1
36,tertiary,cellular,jul,2,failure,0
36,tertiary,cellular,jan,1,failure,0
36,primary,cellular,feb,1,failure,0
36,secondary,cellular,feb,1,failure,0
36,tertiary,telephone,feb,2,failure,0
36,secondary,cellular,feb,2,failure,0
36,secondary,cellular,feb,3,failure,0
36,secondary,cellular,feb,10,failure,0
36,secondary,cellular,feb,1,success,0
36,tertiary,cellular,dec,1,failure,0
36,tertiary,cellular,dec,3,success,1
36,tertiary,cellular,aug,1,failure,0
36,secondary,telephone,aug,3,failure,0
36,tertiary,cellular,aug,8,failure,1
36,tertiary,cellular,aug,3,success,1
36,secondary,cellular,apr,1,failure,0
36,secondary,cellular,apr,3,failure,0
36,primary,cellular,apr,1,success,1
35,secondary,cellular,sep,2,failure,0
35,secondary,cellular,0v,1,failure,0
35,tertiary,cellular,0v,2,failure,0
35,secondary,cellular,0v,7,failure,0
35,secondary,cellular,0v,1,success,1
35,tertiary,cellular,may,1,failure,0
35,secondary,cellular,may,1,failure,0
35,primary,cellular,may,2,failure,0
35,secondary,cellular,may,4,failure,1
35,tertiary,cellular,may,5,failure,1
35,secondary,cellular,may,7,failure,0
35,tertiary,cellular,may,1,success,0
35,secondary,cellular,jul,2,failure,1
35,secondary,cellular,jul,2,success,0
35,secondary,cellular,jan,1,failure,0
35,secondary,cellular,jan,1,failure,0
35,secondary,cellular,jan,1,failure,0
35,secondary,cellular,jan,1,failure,0
35,tertiary,cellular,feb,2,failure,0
35,tertiary,cellular,dec,1,failure,0
35,secondary,cellular,dec,3,success,1
35,tertiary,cellular,aug,2,failure,0
35,tertiary,cellular,aug,2,failure,0
35,tertiary,cellular,aug,2,failure,1
35,tertiary,cellular,aug,3,success,1
35,tertiary,cellular,apr,1,failure,0
35,tertiary,cellular,apr,1,failure,0
35,tertiary,cellular,apr,1,failure,0
35,secondary,cellular,apr,3,failure,0
34,tertiary,cellular,oct,1,failure,0
34,tertiary,cellular,oct,1,failure,0
34,secondary,cellular,0v,1,failure,1
34,secondary,cellular,0v,1,failure,0
34,secondary,telephone,0v,1,failure,0
34,tertiary,cellular,0v,1,failure,0
34,tertiary,telephone,0v,3,success,0
34,secondary,cellular,may,1,failure,0
34,secondary,cellular,may,1,failure,0
34,secondary,cellular,may,1,failure,0
34,tertiary,cellular,may,1,failure,0
34,secondary,cellular,may,1,failure,1
34,tertiary,cellular,may,1,failure,0
34,secondary,cellular,may,2,failure,0
34,secondary,cellular,may,2,failure,0
34,tertiary,cellular,may,2,failure,0
34,tertiary,cellular,may,1,success,0
34,secondary,cellular,may,1,success,1
34,tertiary,cellular,jun,2,failure,1
34,secondary,cellular,jan,1,failure,0
34,secondary,cellular,feb,2,failure,0
34,secondary,cellular,dec,2,success,1
34,tertiary,cellular,aug,1,success,1
34,tertiary,cellular,aug,3,success,1
34,secondary,cellular,apr,1,failure,0
34,tertiary,cellular,apr,1,failure,0
34,secondary,cellular,apr,3,failure,0
34,tertiary,cellular,apr,3,failure,0
34,secondary,cellular,apr,1,success,0
33,secondary,cellular,oct,1,failure,1
33,tertiary,cellular,oct,2,failure,1
33,secondary,cellular,0v,1,failure,0
33,secondary,cellular,0v,1,failure,1
33,tertiary,cellular,0v,1,failure,0
33,tertiary,cellular,0v,1,failure,0
33,secondary,cellular,0v,1,failure,0
33,tertiary,cellular,0v,1,failure,0
33,secondary,cellular,may,1,failure,1
33,secondary,cellular,may,1,failure,0
33,tertiary,cellular,may,1,failure,0
33,secondary,cellular,may,1,failure,0
33,secondary,cellular,may,2,failure,0
33,secondary,cellular,may,2,failure,0
33,secondary,cellular,may,2,failure,1
33,secondary,cellular,may,2,success,0
33,secondary,cellular,jan,2,failure,0
33,tertiary,cellular,feb,1,failure,0
33,tertiary,cellular,feb,1,failure,0
33,tertiary,cellular,feb,1,failure,0
33,secondary,cellular,apr,1,failure,0
33,secondary,cellular,apr,1,failure,0
33,tertiary,cellular,apr,2,failure,0
32,secondary,cellular,sep,1,success,1
32,secondary,cellular,0v,1,failure,0
32,tertiary,cellular,0v,1,failure,0
32,secondary,cellular,0v,2,failure,0
32,secondary,cellular,0v,2,failure,0
32,tertiary,cellular,0v,2,failure,0
32,secondary,cellular,may,1,failure,0
32,secondary,cellular,may,1,failure,1
32,secondary,cellular,may,1,failure,0
32,secondary,cellular,may,1,failure,0
32,tertiary,cellular,may,1,failure,0
32,tertiary,cellular,may,1,failure,1
32,tertiary,cellular,may,2,failure,0
32,secondary,cellular,may,4,failure,0
32,tertiary,cellular,may,7,failure,0
32,secondary,cellular,may,9,failure,0
32,secondary,cellular,may,1,success,0
32,tertiary,cellular,may,1,success,0
32,tertiary,cellular,jun,1,failure,0
32,secondary,cellular,feb,1,failure,1
32,secondary,cellular,feb,1,failure,0
32,secondary,telephone,feb,1,failure,0
32,secondary,cellular,feb,2,failure,0
32,tertiary,cellular,aug,1,failure,0
32,tertiary,cellular,aug,5,failure,0
32,secondary,cellular,apr,1,failure,0
32,tertiary,cellular,apr,1,failure,0
32,secondary,cellular,apr,1,failure,0
32,tertiary,cellular,apr,2,failure,0
32,tertiary,cellular,apr,1,success,1
31,tertiary,cellular,sep,1,failure,1
31,tertiary,cellular,sep,1,success,0
31,secondary,cellular,0v,1,failure,0
31,secondary,cellular,0v,2,failure,0
31,tertiary,cellular,may,1,failure,0
31,secondary,cellular,may,2,failure,0
31,tertiary,cellular,may,2,failure,0
31,secondary,telephone,may,4,failure,0
31,tertiary,cellular,may,6,failure,0
31,primary,cellular,may,1,success,1
31,secondary,cellular,jul,1,success,1
31,secondary,cellular,jan,1,failure,0
31,tertiary,cellular,feb,1,failure,1
31,tertiary,cellular,feb,2,failure,0
31,secondary,cellular,dec,1,failure,0
31,secondary,cellular,apr,1,failure,0
31,secondary,cellular,apr,1,failure,0
31,secondary,telephone,apr,2,failure,0
31,tertiary,cellular,apr,3,failure,0
31,secondary,cellular,apr,1,success,0
31,secondary,cellular,apr,1,success,0
31,tertiary,cellular,apr,1,success,1
30,tertiary,cellular,oct,1,failure,0
30,secondary,cellular,0v,1,failure,0
30,secondary,cellular,may,1,failure,0
30,secondary,cellular,may,2,failure,1
30,tertiary,cellular,may,2,failure,0
30,secondary,cellular,may,2,failure,0
30,secondary,cellular,may,2,failure,0
30,secondary,cellular,may,6,failure,0
30,tertiary,cellular,jun,1,failure,0
30,secondary,cellular,jul,1,failure,0
30,tertiary,cellular,aug,1,failure,0
30,secondary,cellular,apr,1,failure,0
30,tertiary,cellular,apr,1,failure,0
30,tertiary,cellular,apr,1,failure,0
30,secondary,cellular,apr,6,failure,0
30,tertiary,cellular,apr,1,success,1
29,tertiary,cellular,sep,1,failure,0
29,secondary,cellular,may,1,failure,0
29,secondary,cellular,may,1,failure,0
29,tertiary,cellular,may,2,failure,0
29,tertiary,cellular,may,4,failure,0
29,secondary,cellular,may,8,failure,0
29,tertiary,cellular,may,3,success,0
29,tertiary,cellular,jun,7,failure,0
29,secondary,cellular,jul,1,failure,0
29,secondary,cellular,jul,1,failure,0
29,tertiary,cellular,feb,2,success,1
29,secondary,cellular,feb,2,success,1
29,tertiary,cellular,dec,1,success,1
29,tertiary,cellular,aug,1,success,1
29,tertiary,cellular,apr,2,success,1
28,secondary,cellular,sep,1,success,1
28,tertiary,cellular,oct,2,failure,1
28,primary,cellular,may,1,failure,0
28,secondary,cellular,may,1,failure,0
28,secondary,cellular,may,1,failure,0
28,secondary,cellular,may,2,failure,0
28,secondary,telephone,may,8,failure,0
28,secondary,cellular,may,9,failure,0
28,secondary,telephone,may,1,success,1
28,secondary,cellular,jun,3,success,1
28,secondary,cellular,jan,1,failure,0
28,tertiary,cellular,jan,1,failure,0
28,secondary,cellular,jan,1,success,0
28,secondary,cellular,apr,1,failure,0
27,tertiary,cellular,oct,1,success,0
27,tertiary,cellular,0v,2,failure,1
27,secondary,cellular,may,1,failure,0
27,secondary,cellular,may,1,failure,0
27,tertiary,cellular,may,2,failure,0
27,secondary,cellular,may,1,success,1
27,tertiary,cellular,may,1,success,1
27,tertiary,cellular,feb,1,failure,0
26,secondary,cellular,0v,1,failure,0
26,tertiary,cellular,may,1,failure,0
26,secondary,cellular,may,2,failure,0
26,tertiary,cellular,mar,1,success,1
26,tertiary,cellular,jun,1,failure,0
26,primary,cellular,jan,1,failure,0
26,secondary,cellular,jan,5,failure,0
26,secondary,cellular,apr,1,success,1
25,tertiary,cellular,sep,2,failure,1
25,tertiary,cellular,sep,4,failure,0
25,tertiary,cellular,may,3,failure,1
25,secondary,cellular,apr,1,failure,0
24,secondary,cellular,oct,1,failure,1
24,secondary,cellular,may,1,failure,0
23,primary,cellular,may,1,failure,0
22,primary,cellular,oct,1,failure,1
21,secondary,cellular,jun,6,success,1
20,secondary,telephone,may,5,failure,0
